m_dim,ranks,nsplits,time_matmul,time_reference_@
256,1,1,0.0053098201751708984,0.003751039505004883
256,2,1,0.0055692195892333984,0.0021588802337646484
256,4,1,0.022943735122680664,0.002383708953857422
256,8,1,0.037506818771362305,0.002121448516845703
512,1,1,0.009117841720581055,0.004956245422363281
512,2,1,0.008218526840209961,0.005116939544677734
512,4,1,0.024045467376708984,0.007207632064819336
512,8,1,0.030663251876831055,0.016026020050048828
1024,1,1,0.040038347244262695,0.03340792655944824
1024,2,1,0.031248092651367188,0.03397345542907715
1024,4,1,0.025037288665771484,0.036652565002441406
1024,8,1,0.0448145866394043,0.05289578437805176
2048,1,1,0.2647991180419922,0.25023603439331055
2048,2,1,0.15130829811096191,0.2517392635345459
2048,4,1,0.11147165298461914,0.28160762786865234
2048,8,1,0.14054393768310547,0.31925344467163086
4096,1,1,2.009911298751831,1.9890966415405273
4096,2,1,1.1587979793548584,2.07232666015625
4096,4,1,0.7636113166809082,2.249458074569702
4096,8,1,0.6978411674499512,2.7862915992736816
